replicate	time	treatment	wak	cho	tre	fle	bas	leo	ber	her
rep9	42	-2.5.C	0.045180723	0.204481793	0.16254417	0.082568807	0.169550173	0.064516129	0.147945205	0.166666667
rep10	42	-2.5.C	0.150159744	0.144578313	0.124481328	0.117460317	0.100609756	0.097744361	0.145205479	0.001672598
rep1	42	0.C	0.103064067	0.259689922	0.202898551	0.225	0.117647059	0.242718447	0.224188791	0.1769437
rep2	42	0.C	0.091803279	0.23046875	0.322751323	0.115151515	0.18466899	0.251497006	0.226351351	0.182926829
rep3	42	0.C	0.078947368	0.162025316	0.130252101	0.133507853	0.23880597	0.227272727	0.104615385	0.161290323
rep4	42	0.C	0.107638889	0.167213115	0.207048458	0.101503759	0.200772201	0.395189003	0.125	0.158640227
rep5	42	0.C	0.095384615	0.279693487	0.318007663	0.095833333	0.196491228	0.126279863	0.195205479	0.170347003
rep6	42	0.C	0.050239234	0.146520147	0.219827586	0.156363636	0.14	0.309608541	0.110795455	0.147058824
rep7	42	0.C	0.081300813	0.259136213	0.245421245	0.138181818	0.155477032	0.308270677	0.193353474	0.117021277
rep8	42	0.C	0.104046243	0.261410788	0.14893617	0.150579151	0.142857143	0.261627907	0.157377049	0.124681934
rep9	42	0.C	0.099601594	0.25093633	0.334821429	0.137614679	0.148550725	0.128289474	0.119170984	0.155234657
rep10	42	0.C	0.095238095	0.213058419	0.222672065	0.176666667	0.165605096	0.240963855	0.273291925	0.134285714
rep1	42	2.5.C	0.167173252	0.456	0.352941176	0.214521452	0.135220126	0.315914489	0.175742574	0.241982507
rep2	42	2.5.C	0.151335312	0.439093484	0.438016529	0.200647249	0.561085973	0.263610315	0.149425287	0.243107769
rep3	42	2.5.C	0.132132132	0.543859649	0.46835443	0.160493827	0.438247012	0.48	0.188034188	0.251908397
rep4	42	2.5.C	0.130952381	0.348189415	0.384892086	0.213017751	0.342019544	0.413489736	0.16802168	0.230538922
rep5	42	2.5.C	0.191374663	0.439862543	0.209964413	0.24	0.329749104	0.537634409	0.200680272	0.202346041
rep6	42	2.5.C	0.161290323	0.692946058	0.445054945	0.200557103	0.488888889	0.333333333	0.155555556	0.239067055
rep7	42	2.5.C	0.293447293	0.433898305	0.478764479	0.206293706	0.355828221	0.62305296	0.226415094	0.207317073
