rep	time	treatment	embryo	endosperm	ratio
rep7	56	dark	1.52	3.01	0.50
rep8	56	dark	1.40	3.22	0.43
rep9	56	dark	0.86	3.95	0.22
rep10	56	dark	0.82	3.15	0.26
rep1	70	m-2.5C	0.39	3.30	0.12
rep2	70	m-2.5C	0.51	3.28	0.16
rep3	70	m-2.5C	0.32	3.23	0.10
rep4	70	m-2.5C	0.42	3.77	0.11
rep5	70	m-2.5C	0.30	3.18	0.09
rep6	70	m-2.5C	0.69	3.59	0.19
rep7	70	m-2.5C	0.55	3.37	0.16
rep8	70	m-2.5C	0.47	3.13	0.15
rep9	70	m-2.5C	0.49	3.62	0.14
rep10	70	m-2.5C	0.34	3.12	0.11
rep1	70	0C	1.68	3.26	0.52
rep2	70	0C	1.61	4.15	0.39
rep3	70	0C	1.75	3.17	0.55
rep4	70	0C	1.89	3.39	0.56
rep5	70	0C	2.31	3.40	0.68
rep6	70	0C	2.42	3.18	0.76
rep7	70	0C	0.90	3.09	0.29
rep8	70	0C	2.36	3.30	0.72
rep9	70	0C	1.37	2.90	0.47
rep10	70	0C	2.55	3.94	0.65
rep1	70	2.5C	1.35	3.36	0.40
rep2	70	2.5C	1.41	2.96	0.48
rep3	70	2.5C	1.94	3.67	0.53
rep4	70	2.5C	1.78	4.07	0.44
rep5	70	2.5C	2.34	3.50	0.67
rep6	70	2.5C	1.38	4.11	0.34
rep7	70	2.5C	1.76	2.74	0.64
rep8	70	2.5C	2.29	3.72	0.62
rep9	70	2.5C	1.17	3.15	0.37
rep10	70	2.5C	1.88	3.68	0.51
rep1	70	5C	1.16	2.99	0.39
rep2	70	5C	1.75	3.31	0.53
rep3	70	5C	2.12	2.90	0.73
rep4	70	5C	1.63	4.30	0.38
rep5	70	5C	2.35	3.93	0.60
rep6	70	5C	2.59	4.30	0.60
rep7	70	5C	2.13	3.87	0.55
rep8	70	5C	2.40	3.53	0.68
rep9	70	5C	1.50	3.39	0.44
rep10	70	5C	1.97	3.62	0.54
rep1	70	7.5C	0.92	4.06	0.23
rep2	70	7.5C	0.66	4.21	0.16
rep3	70	7.5C	0.85	3.28	0.26
rep4	70	7.5C	2.39	3.77	0.63
rep5	70	7.5C	2.01	3.26	0.62
rep6	70	7.5C	1.14	3.16	0.36
rep7	70	7.5C	1.03	3.37	0.31
rep8	70	7.5C	1.36	3.47	0.39
rep9	70	7.5C	0.64	3.21	0.20
rep10	70	7.5C	1.15	3.01	0.38
rep1	70	10C	0.74	3.02	0.25
rep2	70	10C	0.85	3.47	0.24
rep3	70	10C	0.84	2.72	0.31
rep4	70	10C	0.41	3.24	0.13
rep5	70	10C	0.64	3.29	0.19
rep6	70	10C	0.43	2.88	0.15
rep7	70	10C	0.63	3.52	0.18
rep8	70	10C	0.83	3.24	0.26
rep9	70	10C	0.77	3.22	0.24
rep10	70	10C	0.67	3.24	0.21
rep1	70	dark	1.23	4.03	0.31
rep2	70	dark	1.22	3.37	0.36
rep3	70	dark	1.95	3.87	0.50
rep4	70	dark	2.10	2.98	0.70
rep5	70	dark	1.99	3.72	0.53
rep6	70	dark	2.29	4.14	0.55
