rep	time	treatment	embryo	endosperm	ratio
rep1	42	10C	0.55	4.05	0.135802469
rep2	42	10C	0.49	3.2	0.153125
rep3	42	10C	0.9	3.45	0.260869565
rep4	42	10C	0.69	3.39	0.203539823
rep5	42	10C	0.56	3.13	0.178913738
rep6	42	10C	0.56	3.84	0.145833333
rep7	42	10C	0.59	3.77	0.156498674
rep8	42	10C	0.51	3.76	0.135638298
rep9	42	10C	0.33	3.74	0.088235294
rep10	42	10C	1.08	4.28	0.252336449
rep1	42	dark	0.95	3.08	0.308441558
rep2	42	dark	0.72	3.82	0.188481675
rep3	42	dark	0.76	3.59	0.211699164
rep4	42	dark	0.98	3.71	0.264150943
rep5	42	dark	0.56	3.51	0.15954416
rep6	42	dark	0.85	3.28	0.259146341
rep7	42	dark	0.7	3.11	0.225080386
rep8	42	dark	0.83	3.96	0.20959596
rep9	42	dark	0.69	2.94	0.234693878
rep10	42	dark	0.49	3.03	0.161716172
rep1	56	m2.5C	0.28	3.4	0.082352941
rep2	56	m2.5C	0.27	3.34	0.080838323
rep3	56	m2.5C	0.3	3.92	0.076530612
rep4	56	m2.5C	0.28	3.93	0.071246819
rep5	56	m2.5C	0.33	3.44	0.095930233
rep6	56	m2.5C	0.33	3.63	0.090909091
rep7	56	m2.5C	0.19	3.67	0.051771117
rep8	56	m2.5C	0.21	3.41	0.061583578
rep9	56	m2.5C	0.23	3.64	0.063186813
rep10	56	m2.5C	0.36	3.87	0.093023256
rep1	56	0C	0.39	3.21	0.121495327
rep2	56	0C	0.61	3.28	0.18597561
rep3	56	0C	0.52	3.22	0.161490683
rep4	56	0C	0.41	4.14	0.099033816
rep5	56	0C	0.69	3.44	0.200581395
rep6	56	0C	0.5	3.96	0.126262626
rep7	56	0C	0.61	3.74	0.163101604
rep8	56	0C	0.53	3.77	0.140583554
rep9	56	0C	0.69	3.22	0.214285714
rep10	56	0C	0.44	3.64	0.120879121
rep1	56	2.5C	1.48	3.44	0.430232558
rep2	56	2.5C	0.85	3.19	0.26645768
rep3	56	2.5C	0.81	4.42	0.183257919
rep4	56	2.5C	0.32	3.23	0.099071207
rep5	56	2.5C	1.12	3.39	0.330383481
rep6	56	2.5C	0.65	4.5	0.144444444
rep7	56	2.5C	1.14	3.43	0.332361516
rep8	56	2.5C	1.19	3.09	0.385113269
rep9	56	2.5C	1.18	3.04	0.388157895
rep10	56	2.5C	0.95	3.16	0.300632911
rep1	56	5C	1.62	3.26	0.496932515
rep2	56	5C	1.58	3.46	0.456647399
rep3	56	5C	0.91	3.84	0.236979167
rep4	56	5C	1.31	3.63	0.360881543
rep5	56	5C	0.76	3.37	0.225519288
rep6	56	5C	1.37	3.25	0.421538462
rep7	56	5C	0.85	3.89	0.218508997
rep8	56	5C	1.13	3.85	0.293506494
rep9	56	5C	1.26	3.29	0.382978723
rep10	56	5C	0.84	2.86	0.293706294
rep1	56	7.5C	0.92	3.29	0.279635258
rep2	56	7.5C	0.65	3.34	0.194610778
rep3	56	7.5C	0.71	3.33	0.213213213
rep4	56	7.5C	0.99	3.13	0.31629393
rep5	56	7.5C	0.95	3.65	0.260273973
rep6	56	7.5C	0.97	2.97	0.326599327
rep7	56	7.5C	1.3	3.53	0.368271955
rep8	56	7.5C	0.34	3.28	0.103658537
rep9	56	7.5C	1.29	4.4	0.293181818
rep10	56	7.5C	1.23	3.4	0.361764706
rep1	56	10C	0.8	2.85	0.280701754
rep2	56	10C	0.72	3.65	0.197260274
rep3	56	10C	0.66	3.37	0.195845697
rep4	56	10C	0.98	3.1	0.316129032
rep5	56	10C	0.67	3.73	0.179624665
rep6	56	10C	0.89	3.31	0.268882175
rep7	56	10C	1.02	3.5	0.291428571
rep8	56	10C	0.8	3.06	0.261437908
rep9	56	10C	0.58	3.95	0.146835443
rep10	56	10C	0.61	3.92	0.155612245
rep1	56	dark	1.08	3.95	0.273417722
rep2	56	dark	0.57	2.69	0.211895911
rep3	56	dark	1.28	3.63	0.35261708
rep4	56	dark	0.98	3.24	0.302469136
rep5	56	dark	1.26	3.47	0.363112392
rep6	56	dark	1.55	3.53	0.439093484
rep7	56	dark	0.35	3.16	0.110759494
rep8	56	dark	0.98	3.76	0.260638298
rep9	56	dark	0.9	3.08	0.292207792
rep10	56	dark	0.98	4.27	0.229508197
rep1	70	m2.5C	0.22	4.04	0.054455446
rep2	70	m2.5C	0.33	4.24	0.077830189
rep3	70	m2.5C	0.16	3.57	0.044817927
rep4	70	m2.5C	0.35	3.64	0.096153846
rep5	70	m2.5C	0.19	3.23	0.058823529
rep6	70	m2.5C	0.23	3.25	0.070769231
rep7	70	m2.5C	0.34	3.46	0.098265896
rep8	70	m2.5C	0.39	3.93	0.099236641
rep9	70	m2.5C	0.31	3.39	0.091445428
